calls,analysis,reference,aligner,method,filtering,mass,miscalls,joinkey,clinvar_lines
1089823473,calls,grch38,bwameth,wgbs,filt,200ng,7812793,grch38_bwameth_wgbs_200ng,523938
1017320966,calls,grch38,bwameth,wgbs,filt,10ng,5735425,grch38_bwameth_wgbs_10ng,222918
1102468567,calls,t2t,bwameth,wgbs,filt,200ng,423102,t2t_bwameth_wgbs_200ng,6124
1146848528,calls,grch38,bwameth,emseq,filt,10ng,7533119,grch38_bwameth_emseq_10ng,274976
1090848444,calls,grch38,bwameth,wgbs,filt,50ng,6515779,grch38_bwameth_wgbs_50ng,252180
1149823123,calls,grch38,bwameth,emseq,filt,200ng,7733109,grch38_bwameth_emseq_200ng,263931
1026835313,calls,t2t,bwameth,wgbs,filt,10ng,300241,t2t_bwameth_wgbs_10ng,4126
1076895900,calls,t2t,bismark,wgbs,filt,200ng,1798454,t2t_bismark_wgbs_200ng,24069
1103619486,calls,t2t,bwameth,wgbs,filt,50ng,410412,t2t_bwameth_wgbs_50ng,5794
1159464630,calls,t2t,bismark,emseq,filt,10ng,2248006,t2t_bismark_emseq_10ng,29220
978240266,calls,t2t,bismark,wgbs,filt,10ng,1598881,t2t_bismark_wgbs_10ng,20783
1073714590,calls,t2t,bismark,wgbs,filt,50ng,1786181,t2t_bismark_wgbs_50ng,24294
1158661101,calls,t2t,bwameth,emseq,filt,50ng,648005,t2t_bwameth_emseq_50ng,14165
1159470947,calls,t2t,bwameth,emseq,filt,200ng,607521,t2t_bwameth_emseq_200ng,8710
1149117384,calls,grch38,bwameth,emseq,filt,50ng,7740191,grch38_bwameth_emseq_50ng,275071
1062521579,calls,grch38,bismark,wgbs,filt,200ng,8200083,grch38_bismark_wgbs_200ng,411939
1152533199,calls,grch38,bismark,emseq,filt,50ng,10351496,grch38_bismark_emseq_50ng,451757
1164084938,calls,t2t,bismark,emseq,filt,50ng,2679590,t2t_bismark_emseq_50ng,32626
1155929537,calls,t2t,bwameth,emseq,filt,10ng,488874,t2t_bwameth_emseq_10ng,8163
1148850489,calls,grch38,bismark,emseq,filt,10ng,9974750,grch38_bismark_emseq_10ng,449831
965983847,calls,grch38,bismark,wgbs,filt,10ng,7176935,grch38_bismark_wgbs_10ng,366548
1153205192,calls,grch38,bismark,emseq,filt,200ng,10340693,grch38_bismark_emseq_200ng,434868
1164959775,calls,t2t,bismark,emseq,filt,200ng,2815448,t2t_bismark_emseq_200ng,31781
1057524828,calls,grch38,bismark,wgbs,filt,50ng,10129696,grch38_bismark_wgbs_50ng,841985
